Handle,Product Code,Category,Title,Product Type,Shopify Category (planned),Channel,Format,Flower Type,Color Family,Occasion,Customer Type,Season,Care Level,Vase Life,Stem Length,Bloom Size,Unit Type,Minimum Order Qty,Variant Option 1,Variant Option 2,Variant Count,Provisional Prices (USD),PRICE_STATUS,IMAGE_STATUS,Planned Image,Image Alt,Collections,Tags,Delivery Note,Wholesale Note,Availability Note,Care Instructions,Country of Origin,CONFIRMATION_REQUIRED,APPROVAL_STATUS,Status
anthurium-stems,TNG-WHL-021,wholesale,Anthurium Stems,Fresh Cut Flowers,,wholesale,bulk-box,anthurium,red,corporate|everyday|wedding|congratulations,florist|event-planner|hotel|corporate,year-round,moderate,14-21 days,40-60cm,Spathe 8-15cm across,stem,1 box (30 stems),Pack Size,Stem Length,4,25 Stems/Standard=85.00; 50 Stems/Standard=160.00; 50 Stems/Premium=192.00; 100 Stems/Premium=360.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/anthurium-stems-1200x1500.jpg,"Anthurium Stems — The New Greenhouse, Kingston Jamaica",All Flowers|Tropical Flowers|Red|Congratulations|Corporate Gifting|Bulk Flowers|Florist Essentials,"channel:wholesale, flower:anthurium, color:red, occasion:corporate, occasion:everyday, occasion:wedding, occasion:congratulations, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,"Available in red, white, pink and green; size grades vary. Cold-sensitive, keep warm. Tiered pricing on 25/50/100 stems.",Subject to seasonal availability and grower supply.,"Recut stems and hydrate in clean water; keep above 13C and mist the spathe, as chilling causes brown blemishes.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
heliconia,TNG-WHL-022,wholesale,Heliconia,Fresh Cut Flowers,,wholesale,bulk-box,heliconia,red,corporate|everyday|wedding|congratulations,florist|event-planner|hotel,year-round,moderate,10-18 days,70-100cm,Bract head 20-40cm long,stem,1 box (15 stems),Pack Size,,3,25 Stems=85.00; 50 Stems=160.00; 100 Stems=300.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/heliconia-1200x1500.jpg,"Heliconia — The New Greenhouse, Kingston Jamaica",All Flowers|Tropical Flowers|Red|Congratulations|Corporate Gifting|Bulk Flowers|Florist Essentials,"channel:wholesale, flower:heliconia, color:red, occasion:corporate, occasion:everyday, occasion:wedding, occasion:congratulations, customer:florist, customer:event-planner, customer:hotel, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,"Large, heavy stems; variety and size grades vary by supply. Cold-sensitive. Tiered pricing on 25/50/100 stems.",Subject to seasonal availability and grower supply.,"Recut stems and hydrate in deep clean water; keep above 13C and rinse bracts, which can trap water and debris.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
torch-ginger,TNG-WHL-023,wholesale,Torch Ginger,Fresh Cut Flowers,,wholesale,bulk-box,ginger,red,wedding|corporate|everyday|congratulations,florist|event-planner|hotel,year-round,moderate,7-14 days,60-90cm,Head 12-18cm across,stem,1 box (15 stems),Pack Size,,3,25 Stems=85.00; 50 Stems=160.00; 100 Stems=300.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/torch-ginger-1200x1500.jpg,"Torch Ginger — The New Greenhouse, Kingston Jamaica",All Flowers|Tropical Flowers|Red|Congratulations|Corporate Gifting|Bulk Flowers|Florist Essentials,"channel:wholesale, flower:ginger, color:red, occasion:wedding, occasion:corporate, occasion:everyday, occasion:congratulations, customer:florist, customer:event-planner, customer:hotel, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Premium heavy focal flower; pink and red forms vary by supply. Cold-sensitive. Tiered pricing on 25/50/100 stems.,Subject to seasonal availability and grower supply.,Recut stems and hydrate in deep clean water; keep above 13C and mist the head to maintain its waxy sheen.,[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
bird-of-paradise,TNG-WHL-024,wholesale,Bird of Paradise,Fresh Cut Flowers,,wholesale,bulk-box,bird-of-paradise,yellow-orange,corporate|everyday|congratulations|wedding,florist|event-planner|hotel|corporate,year-round,moderate,10-18 days,70-100cm,Head 15-20cm long,stem,1 box (20 stems),Pack Size,,3,25 Stems=85.00; 50 Stems=160.00; 100 Stems=300.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/bird-of-paradise-1200x1500.jpg,"Bird of Paradise — The New Greenhouse, Kingston Jamaica",All Flowers|Tropical Flowers|Yellow and Orange|Congratulations|Corporate Gifting|Bulk Flowers|Florist Essentials,"channel:wholesale, flower:bird-of-paradise, color:yellow-orange, occasion:corporate, occasion:everyday, occasion:congratulations, occasion:wedding, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,"Long, heavy focal stems; size grades vary. Cold-sensitive. Tiered pricing on 25/50/100 stems.",Subject to seasonal availability and grower supply.,Recut stems and hydrate in deep clean water; keep above 10C and gently ease out each successive bloom as the previous one fades.,[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
seeded-eucalyptus,TNG-WHL-025,wholesale,Seeded Eucalyptus,Greenery,,wholesale,bunch,eucalyptus,green,wedding|everyday|corporate|sympathy,florist|event-planner|hotel,year-round,easy,10-16 days,45-70cm,"Foliage bunch, seed pods 3-5mm",bunch,5 bunches,Pack Size,,3,25 Stems=35.00; 50 Stems=65.00; 100 Stems=120.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/seeded-eucalyptus-1200x1500.jpg,"Seeded Eucalyptus — The New Greenhouse, Kingston Jamaica",All Flowers|Greenery and Fillers|Green|Sympathy and Funeral|Corporate Gifting|Bulk Flowers|Wholesale Greenery|Florist Essentials,"channel:wholesale, flower:eucalyptus, color:green, occasion:wedding, occasion:everyday, occasion:corporate, occasion:sympathy, customer:florist, customer:event-planner, customer:hotel, format:bunch, season:year-round, type:greenery, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Sold in field bunches by weight; stem count per bunch varies naturally. Tiered pricing on 25/50/100 stems.,Subject to seasonal availability and grower supply.,"Recut the woody stems firmly, strip lower leaves and hydrate in clean water; dries well if hung upside down.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
silver-dollar-eucalyptus,TNG-WHL-026,wholesale,Silver Dollar Eucalyptus,Greenery,,wholesale,bunch,eucalyptus,green,wedding|everyday|corporate|sympathy,florist|event-planner|hotel,year-round,easy,10-16 days,45-70cm,"Foliage bunch, leaves 3-5cm across",bunch,5 bunches,Pack Size,,3,25 Stems=35.00; 50 Stems=65.00; 100 Stems=120.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/silver-dollar-eucalyptus-1200x1500.jpg,"Silver Dollar Eucalyptus — The New Greenhouse, Kingston Jamaica",All Flowers|Greenery and Fillers|Green|Sympathy and Funeral|Corporate Gifting|Bulk Flowers|Wholesale Greenery|Florist Essentials,"channel:wholesale, flower:eucalyptus, color:green, occasion:wedding, occasion:everyday, occasion:corporate, occasion:sympathy, customer:florist, customer:event-planner, customer:hotel, format:bunch, season:year-round, type:greenery, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Sold in field bunches by weight; stem count per bunch varies. Tiered pricing on 25/50/100 stems.,Subject to seasonal availability and grower supply.,"Recut the woody stems firmly, strip lower leaves and hydrate in clean water; hang to dry for lasting decor.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
israeli-ruscus,TNG-WHL-027,wholesale,Israeli Ruscus,Greenery,,wholesale,bunch,ruscus,green,wedding|sympathy|corporate|everyday,florist|event-planner|hotel,year-round,easy,14-21 days,50-75cm,"Foliage bunch, leaves 4-7cm",bunch,5 bunches,Pack Size,,3,25 Stems=35.00; 50 Stems=65.00; 100 Stems=120.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/israeli-ruscus-1200x1500.jpg,"Israeli Ruscus — The New Greenhouse, Kingston Jamaica",All Flowers|Greenery and Fillers|Green|Sympathy and Funeral|Corporate Gifting|Bulk Flowers|Wholesale Greenery|Florist Essentials,"channel:wholesale, flower:ruscus, color:green, occasion:wedding, occasion:sympathy, occasion:corporate, occasion:everyday, customer:florist, customer:event-planner, customer:hotel, format:bunch, season:year-round, type:greenery, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Sold in field bunches by weight; stem count per bunch varies. Excellent longevity. Tiered pricing on 25/50/100 stems.,Subject to seasonal availability and grower supply.,"Recut stems, strip lower leaves and hydrate in clean water; one of the most tolerant, long-lasting greens available.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
palm-leather-leaf,TNG-WHL-028,wholesale,Palm & Leather Leaf,Greenery,,wholesale,bunch,palm,green,sympathy|everyday|corporate|wedding,florist|event-planner|hotel,year-round,easy,10-18 days,40-65cm,"Mixed fronds; palm 20-40cm, leather leaf 25-35cm",bunch,5 bunches,Pack Size,,3,25 Stems=35.00; 50 Stems=65.00; 100 Stems=120.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/palm-leather-leaf-1200x1500.jpg,"Palm & Leather Leaf — The New Greenhouse, Kingston Jamaica",All Flowers|Greenery and Fillers|Green|Sympathy and Funeral|Corporate Gifting|Bulk Flowers|Wholesale Greenery|Florist Essentials,"channel:wholesale, flower:palm, color:green, occasion:sympathy, occasion:everyday, occasion:corporate, occasion:wedding, customer:florist, customer:event-planner, customer:hotel, format:bunch, season:year-round, type:greenery, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Assorted mixed foliage sold by the bunch; palm and leather leaf proportions vary. Tiered pricing on 25/50/100 stems.,Subject to seasonal availability and grower supply.,"Recut stems, rinse and hydrate in clean water; mist palm fronds occasionally to keep them supple.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
babys-breath-gypsophila,TNG-WHL-029,wholesale,Baby's Breath (Gypsophila),Floral Filler,,wholesale,bunch,babys-breath,white-ivory,wedding|everyday|sympathy|new-baby|corporate,florist|event-planner|hotel,year-round,easy,7-12 days,40-60cm,Florets 3-6mm in airy sprays,bunch,5 bunches,Pack Size,,3,25 Stems=28.00; 50 Stems=52.00; 100 Stems=95.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/babys-breath-gypsophila-1200x1500.jpg,"Baby's Breath (Gypsophila) — The New Greenhouse, Kingston Jamaica",All Flowers|Greenery and Fillers|White and Ivory|Sympathy and Funeral|New Baby|Corporate Gifting|Bulk Flowers|Wholesale Greenery|Florist Essentials,"channel:wholesale, flower:babys-breath, color:white-ivory, occasion:wedding, occasion:everyday, occasion:sympathy, occasion:new-baby, occasion:corporate, customer:florist, customer:event-planner, customer:hotel, format:bunch, season:year-round, type:floral-filler, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Sold in field bunches by weight for maximum coverage; stem count varies. Tiered pricing on 25/50/100 stems.,Subject to seasonal availability and grower supply.,"Recut stems and hydrate in clean water with flower food; open in a warm, airy space to help the fine buds fluff out.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
wax-flower,TNG-WHL-030,wholesale,Wax Flower,Floral Filler,,wholesale,bunch,wax-flower,pink,wedding|everyday|birthday|corporate,florist|event-planner|hotel,seasonal,easy,8-14 days,40-60cm,Florets 5-8mm in loose sprays,bunch,5 bunches,Pack Size,,3,25 Stems=28.00; 50 Stems=52.00; 100 Stems=95.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/wax-flower-1200x1500.jpg,"Wax Flower — The New Greenhouse, Kingston Jamaica",All Flowers|Greenery and Fillers|Pink|Birthday|Corporate Gifting|Bulk Flowers|Wholesale Greenery|Florist Essentials,"channel:wholesale, flower:wax-flower, color:pink, occasion:wedding, occasion:everyday, occasion:birthday, occasion:corporate, customer:florist, customer:event-planner, customer:hotel, format:bunch, season:seasonal, type:floral-filler, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,"Sold in field bunches by weight; white, pink and purple forms vary by season. Tiered pricing on 25/50/100 stems.",Peak availability is cooler months; subject to grower supply.,"Recut stems, strip lower foliage and hydrate with flower food; handle gently to avoid crushing the fine stems.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
statice,TNG-WHL-031,wholesale,Statice,Floral Filler,,wholesale,bunch,statice,purple,everyday|wedding|corporate|sympathy,florist|event-planner|hotel,year-round,easy,10-16 days,40-60cm,Papery clusters 1-2cm,bunch,5 bunches,Pack Size,,3,25 Stems=28.00; 50 Stems=52.00; 100 Stems=95.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/statice-1200x1500.jpg,"Statice — The New Greenhouse, Kingston Jamaica",All Flowers|Greenery and Fillers|Purple|Sympathy and Funeral|Corporate Gifting|Bulk Flowers|Wholesale Greenery|Florist Essentials,"channel:wholesale, flower:statice, color:purple, occasion:everyday, occasion:wedding, occasion:corporate, occasion:sympathy, customer:florist, customer:event-planner, customer:hotel, format:bunch, season:year-round, type:floral-filler, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,"Sold in field bunches by weight; purple, white, yellow and blue forms available. Tiered pricing on 25/50/100 stems.",Colour range subject to seasonal availability and grower supply.,"Recut stems, strip lower foliage and hydrate in clean water; extremely low-maintenance and dries in place with no fading.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
solidago,TNG-WHL-032,wholesale,Solidago,Floral Filler,,wholesale,bunch,solidago,yellow-orange,everyday|wedding|birthday|corporate|congratulations,florist|event-planner|hotel,year-round,easy,7-12 days,50-70cm,Feathery plumes 8-15cm,bunch,5 bunches,Pack Size,,3,25 Stems=28.00; 50 Stems=52.00; 100 Stems=95.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/solidago-1200x1500.jpg,"Solidago — The New Greenhouse, Kingston Jamaica",All Flowers|Greenery and Fillers|Yellow and Orange|Birthday|Congratulations|Corporate Gifting|Bulk Flowers|Wholesale Greenery|Florist Essentials,"channel:wholesale, flower:solidago, color:yellow-orange, occasion:everyday, occasion:wedding, occasion:birthday, occasion:corporate, occasion:congratulations, customer:florist, customer:event-planner, customer:hotel, format:bunch, season:year-round, type:floral-filler, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Sold in field bunches by weight; stem count varies naturally. Tiered pricing on 25/50/100 stems.,Subject to seasonal availability and grower supply.,"Recut stems, strip lower foliage and hydrate with flower food; change water regularly as the fine foliage can cloud it.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
birthday-brights-bouquet,TNG-RTL-001,retail,Birthday Brights Bouquet,Floral Arrangement,,retail,bouquet,mixed,yellow-orange|pink|mixed,birthday,retail-shopper,year-round,easy,5-7 days,,,arrangement,1,Size,,3,Classic=65.00; Grand=95.00; Signature=135.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/birthday-brights-bouquet-1200x1500.jpg,"Birthday Brights Bouquet — The New Greenhouse, Kingston Jamaica",All Flowers|Pink|Yellow and Orange|Mixed Color|Birthday,"channel:retail, flower:mixed, color:yellow-orange, color:pink, color:mixed, occasion:birthday, customer:retail-shopper, format:bouquet, season:year-round, type:floral-arrangement, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,,Blooms and colours may vary slightly with seasonal availability.,"Trim stem ends on arrival, keep in fresh water away from direct sun, and change the water every two to three days.",[CLIENT CONFIRMATION REQUIRED],,DRAFT_PENDING_REVIEW,draft
classic-birthday-blooms,TNG-RTL-002,retail,Classic Birthday Blooms,Floral Arrangement,,retail,bouquet,mixed,pink|white-ivory|mixed,birthday,retail-shopper,year-round,easy,5-7 days,,,arrangement,1,Size,,2,Classic=65.00; Grand=95.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/classic-birthday-blooms-1200x1500.jpg,"Classic Birthday Blooms — The New Greenhouse, Kingston Jamaica",All Flowers|White and Ivory|Pink|Mixed Color|Birthday,"channel:retail, flower:mixed, color:pink, color:white-ivory, color:mixed, occasion:birthday, customer:retail-shopper, format:bouquet, season:year-round, type:floral-arrangement, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,,Flower selection may vary slightly with seasonal availability.,"Recut the stems at an angle, keep in clean fresh water, and remove any leaves that sit below the waterline.",[CLIENT CONFIRMATION REQUIRED],,DRAFT_PENDING_REVIEW,draft
anniversary-rose-bouquet,TNG-RTL-003,retail,Anniversary Rose Bouquet,Floral Arrangement,,retail,bouquet,rose,red|pink,anniversary|romance,retail-shopper,year-round,easy,5-7 days,,,arrangement,1,Size,,3,Classic=65.00; Grand=95.00; Signature=135.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/anniversary-rose-bouquet-1200x1500.jpg,"Anniversary Rose Bouquet — The New Greenhouse, Kingston Jamaica",All Flowers|Roses|Red|Pink|Anniversary|Love and Romance,"channel:retail, flower:rose, color:red, color:pink, occasion:anniversary, occasion:romance, customer:retail-shopper, format:bouquet, season:year-round, type:floral-arrangement, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,,Rose variety and tone may vary slightly with seasonal availability.,"Recut stems at an angle, keep in fresh water away from heat and direct sun, and change the water every two days.",[CLIENT CONFIRMATION REQUIRED],,DRAFT_PENDING_REVIEW,draft
anniversary-luxe-arrangement,TNG-RTL-004,retail,Anniversary Luxe Arrangement,Floral Arrangement,,retail,arrangement,mixed,red|white-ivory|pink,anniversary|romance,retail-shopper|corporate,year-round,easy,6-8 days,,,arrangement,1,Size,,2,Grand=95.00; Signature=135.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/anniversary-luxe-arrangement-1200x1500.jpg,"Anniversary Luxe Arrangement — The New Greenhouse, Kingston Jamaica",All Flowers|White and Ivory|Red|Pink|Anniversary|Love and Romance,"channel:retail, flower:mixed, color:red, color:white-ivory, color:pink, occasion:anniversary, occasion:romance, customer:retail-shopper, customer:corporate, format:arrangement, season:year-round, type:floral-arrangement, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,,Vase style and flower selection may vary with seasonal availability.,Top up the vase with fresh water every couple of days and keep away from direct sun; lilies will open fully over several days.,[CLIENT CONFIRMATION REQUIRED],,DRAFT_PENDING_REVIEW,draft
red-rose-romance-bouquet,TNG-RTL-005,retail,Red Rose Romance Bouquet,Floral Arrangement,,retail,bouquet,rose,red,romance,retail-shopper,year-round,easy,5-7 days,,,arrangement,1,Size,,3,Classic=65.00; Grand=95.00; Signature=135.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/red-rose-romance-bouquet-1200x1500.jpg,"Red Rose Romance Bouquet — The New Greenhouse, Kingston Jamaica",All Flowers|Roses|Red|Love and Romance,"channel:retail, flower:rose, color:red, occasion:romance, customer:retail-shopper, format:bouquet, season:year-round, type:floral-arrangement, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,,Rose variety may vary slightly with seasonal availability.,"Recut the stems at an angle, keep in clean fresh water away from heat, and refresh the water every two days.",[CLIENT CONFIRMATION REQUIRED],,DRAFT_PENDING_REVIEW,draft
blush-romance-bouquet,TNG-RTL-006,retail,Blush Romance Bouquet,Floral Arrangement,,retail,bouquet,rose,pink|white-ivory,romance,retail-shopper,year-round,easy,5-7 days,,,arrangement,1,Size,,2,Classic=65.00; Grand=95.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/blush-romance-bouquet-1200x1500.jpg,"Blush Romance Bouquet — The New Greenhouse, Kingston Jamaica",All Flowers|Roses|White and Ivory|Pink|Love and Romance,"channel:retail, flower:rose, color:pink, color:white-ivory, occasion:romance, customer:retail-shopper, format:bouquet, season:year-round, type:floral-arrangement, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,,Rose tone may vary slightly with seasonal availability.,"Recut stems at an angle, keep in fresh water away from direct sun, and change the water every two to three days.",[CLIENT CONFIRMATION REQUIRED],,DRAFT_PENDING_REVIEW,draft
congratulations-bright-bouquet,TNG-RTL-007,retail,Congratulations Bright Bouquet,Floral Arrangement,,retail,bouquet,mixed,mixed|yellow-orange|pink,congratulations,retail-shopper|corporate,year-round,easy,5-7 days,,,arrangement,1,Size,,3,Classic=65.00; Grand=95.00; Signature=135.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/congratulations-bright-bouquet-1200x1500.jpg,"Congratulations Bright Bouquet — The New Greenhouse, Kingston Jamaica",All Flowers|Pink|Yellow and Orange|Mixed Color|Congratulations,"channel:retail, flower:mixed, color:mixed, color:yellow-orange, color:pink, occasion:congratulations, customer:retail-shopper, customer:corporate, format:bouquet, season:year-round, type:floral-arrangement, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,,Blooms and colours may vary with seasonal availability.,"Recut the stems, keep in clean fresh water away from direct sun, and change the water every two to three days.",[CLIENT CONFIRMATION REQUIRED],,DRAFT_PENDING_REVIEW,draft
congratulations-elegant-arrangement,TNG-RTL-008,retail,Congratulations Elegant Arrangement,Floral Arrangement,,retail,arrangement,mixed,mixed|white-ivory,congratulations|corporate,retail-shopper|corporate,year-round,easy,6-8 days,,,arrangement,1,Size,,2,Grand=95.00; Signature=135.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/congratulations-elegant-arrangement-1200x1500.jpg,"Congratulations Elegant Arrangement — The New Greenhouse, Kingston Jamaica",All Flowers|White and Ivory|Mixed Color|Congratulations|Corporate Gifting,"channel:retail, flower:mixed, color:mixed, color:white-ivory, occasion:congratulations, occasion:corporate, customer:retail-shopper, customer:corporate, format:arrangement, season:year-round, type:floral-arrangement, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,,Vase style and flower selection may vary with seasonal availability.,"Keep the vase topped up with fresh water, position away from direct sun and heat, and remove any spent blooms.",[CLIENT CONFIRMATION REQUIRED],,DRAFT_PENDING_REVIEW,draft
new-baby-soft-pink-bouquet,TNG-RTL-009,retail,New Baby Soft Pink Bouquet,Floral Arrangement,,retail,bouquet,mixed,pink|white-ivory,new-baby,retail-shopper,year-round,easy,5-7 days,,,arrangement,1,Size,,2,Classic=65.00; Grand=95.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/new-baby-soft-pink-bouquet-1200x1500.jpg,"New Baby Soft Pink Bouquet — The New Greenhouse, Kingston Jamaica",All Flowers|White and Ivory|Pink|New Baby,"channel:retail, flower:mixed, color:pink, color:white-ivory, occasion:new-baby, customer:retail-shopper, format:bouquet, season:year-round, type:floral-arrangement, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,,Blooms may vary slightly with seasonal availability.,"Recut stems at an angle, keep in clean fresh water away from direct sun, and change the water every two to three days.",[CLIENT CONFIRMATION REQUIRED],,DRAFT_PENDING_REVIEW,draft
new-baby-neutral-bouquet,TNG-RTL-010,retail,New Baby Neutral Bouquet,Floral Arrangement,,retail,bouquet,mixed,white-ivory|green,new-baby,retail-shopper,year-round,easy,5-7 days,,,arrangement,1,Size,,2,Classic=65.00; Grand=95.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/new-baby-neutral-bouquet-1200x1500.jpg,"New Baby Neutral Bouquet — The New Greenhouse, Kingston Jamaica",All Flowers|White and Ivory|Green|New Baby,"channel:retail, flower:mixed, color:white-ivory, color:green, occasion:new-baby, customer:retail-shopper, format:bouquet, season:year-round, type:floral-arrangement, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,,Flower selection may vary slightly with seasonal availability.,"Recut the stems, keep in fresh water away from heat and direct sun, and change the water every two to three days.",[CLIENT CONFIRMATION REQUIRED],,DRAFT_PENDING_REVIEW,draft
get-well-sunshine-bouquet,TNG-RTL-011,retail,Get Well Sunshine Bouquet,Floral Arrangement,,retail,bouquet,mixed,yellow-orange,get-well,retail-shopper,year-round,easy,5-7 days,,,arrangement,1,Size,,2,Classic=65.00; Grand=95.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/get-well-sunshine-bouquet-1200x1500.jpg,"Get Well Sunshine Bouquet — The New Greenhouse, Kingston Jamaica",All Flowers|Yellow and Orange|Get Well,"channel:retail, flower:mixed, color:yellow-orange, occasion:get-well, customer:retail-shopper, format:bouquet, season:year-round, type:floral-arrangement, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,,Blooms may vary slightly with seasonal availability.,"Recut stems at an angle, keep in clean fresh water away from direct sun, and change the water every two to three days.",[CLIENT CONFIRMATION REQUIRED],,DRAFT_PENDING_REVIEW,draft
get-well-soft-pastels,TNG-RTL-012,retail,Get Well Soft Pastels,Floral Arrangement,,retail,bouquet,mixed,pink|purple|white-ivory,get-well,retail-shopper,year-round,easy,5-7 days,,,arrangement,1,Size,,2,Classic=65.00; Grand=95.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/get-well-soft-pastels-1200x1500.jpg,"Get Well Soft Pastels — The New Greenhouse, Kingston Jamaica",All Flowers|White and Ivory|Pink|Purple|Get Well,"channel:retail, flower:mixed, color:pink, color:purple, color:white-ivory, occasion:get-well, customer:retail-shopper, format:bouquet, season:year-round, type:floral-arrangement, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,,Flower selection may vary slightly with seasonal availability.,"Recut the stems, keep in fresh water away from direct sun and heat, and change the water every two to three days.",[CLIENT CONFIRMATION REQUIRED],,DRAFT_PENDING_REVIEW,draft
