Handle,Title,Filename,Type,Orientation,Dimensions,Aspect Ratio,Alt Text,Photography Direction,Generation Prompt,Status
congratulations-elegant-arrangement,Congratulations Elegant Arrangement,products/congratulations-elegant-arrangement-1200x1500.jpg,product,portrait,1200x1500,4:5,"Congratulations Elegant Arrangement — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of congratulations elegant arrangement for a luxury florist catalog. A polished vase arrangement to congratulate a colleague, client or new venture. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
new-baby-soft-pink-bouquet,New Baby Soft Pink Bouquet,products/new-baby-soft-pink-bouquet-1200x1500.jpg,product,portrait,1200x1500,4:5,"New Baby Soft Pink Bouquet — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of new baby soft pink bouquet for a luxury florist catalog. A gentle bouquet of soft pink blooms to welcome a baby girl. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
new-baby-neutral-bouquet,New Baby Neutral Bouquet,products/new-baby-neutral-bouquet-1200x1500.jpg,product,portrait,1200x1500,4:5,"New Baby Neutral Bouquet — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of new baby neutral bouquet for a luxury florist catalog. A soft neutral bouquet in ivory and green to celebrate any new arrival. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
get-well-sunshine-bouquet,Get Well Sunshine Bouquet,products/get-well-sunshine-bouquet-1200x1500.jpg,product,portrait,1200x1500,4:5,"Get Well Sunshine Bouquet — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of get well sunshine bouquet for a luxury florist catalog. A cheerful yellow and orange bouquet to brighten someone's recovery. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
get-well-soft-pastels,Get Well Soft Pastels,products/get-well-soft-pastels-1200x1500.jpg,product,portrait,1200x1500,4:5,"Get Well Soft Pastels — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of get well soft pastels for a luxury florist catalog. A soothing pastel bouquet to send comfort and calm during recovery. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
designers-choice-bouquet,Designer's Choice Bouquet,products/designers-choice-bouquet-1200x1500.jpg,product,portrait,1200x1500,4:5,"Designer's Choice Bouquet — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of designer's choice bouquet for a luxury florist catalog. Let our florists create a fresh hand-tied bouquet from the best blooms of the day. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
seasonal-market-bunch,Seasonal Market Bunch,products/seasonal-market-bunch-1200x1500.jpg,product,portrait,1200x1500,4:5,"Seasonal Market Bunch — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of seasonal market bunch for a luxury florist catalog. A relaxed, gathered bunch of the season's freshest blooms for everyday enjoyment. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
everyday-ivory-elegance,Everyday Ivory Elegance,products/everyday-ivory-elegance-1200x1500.jpg,product,portrait,1200x1500,4:5,"Everyday Ivory Elegance — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of everyday ivory elegance for a luxury florist catalog. A refined all-white and ivory bouquet that suits any room and any day. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
modern-mixed-bouquet,Modern Mixed Bouquet,products/modern-mixed-bouquet-1200x1500.jpg,product,portrait,1200x1500,4:5,"Modern Mixed Bouquet — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of modern mixed bouquet for a luxury florist catalog. A contemporary mixed bouquet with clean lines and a considered colour palette. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
standing-spray-classic-white,Standing Spray — Classic White,products/standing-spray-classic-white-1200x1500.jpg,product,portrait,1200x1500,4:5,"Standing Spray — Classic White — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of standing spray — classic white for a luxury florist catalog. An easel-mounted standing spray of white lilies, roses and chrysanthemums with soft greenery for a service. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
standing-spray-mixed-tribute,Standing Spray — Mixed Tribute,products/standing-spray-mixed-tribute-1200x1500.jpg,product,portrait,1200x1500,4:5,"Standing Spray — Mixed Tribute — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of standing spray — mixed tribute for a luxury florist catalog. A full easel standing spray in soft mixed tones — blush, cream and gentle colour with greenery. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
sympathy-wreath-ivory-greenery,Sympathy Wreath — Ivory & Greenery,products/sympathy-wreath-ivory-greenery-1200x1500.jpg,product,portrait,1200x1500,4:5,"Sympathy Wreath — Ivory & Greenery — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of sympathy wreath — ivory & greenery for a luxury florist catalog. A round sympathy wreath of ivory blooms and layered greenery on a floral ring for a service or graveside. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
casket-spray-full-ivory,Casket Spray — Full Ivory,products/casket-spray-full-ivory-1200x1500.jpg,product,portrait,1200x1500,4:5,"Casket Spray — Full Ivory — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of casket spray — full ivory for a luxury florist catalog. A full-length casket spray of ivory roses, lilies and greenery designed to rest across the casket. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
peaceful-whites-hand-tied-bouquet,Peaceful Whites Hand-Tied Bouquet,products/peaceful-whites-hand-tied-bouquet-1200x1500.jpg,product,portrait,1200x1500,4:5,"Peaceful Whites Hand-Tied Bouquet — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of peaceful whites hand-tied bouquet for a luxury florist catalog. A hand-tied bouquet of white roses, lilies and greenery to send comfort to a home or the family. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
serene-sympathy-bouquet,Serene Sympathy Bouquet,products/serene-sympathy-bouquet-1200x1500.jpg,product,portrait,1200x1500,4:5,"Serene Sympathy Bouquet — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of serene sympathy bouquet for a luxury florist catalog. A soft hand-tied bouquet in cream and blush tones with greenery, sent as a gentle gesture of care. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
tribute-basket-arrangement,Tribute Basket Arrangement,products/tribute-basket-arrangement-1200x1500.jpg,product,portrait,1200x1500,4:5,"Tribute Basket Arrangement — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of tribute basket arrangement for a luxury florist catalog. A gathered basket of white and cream blooms with greenery, ready to display at a home or service. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
memorial-vase-arrangement,Memorial Vase Arrangement,products/memorial-vase-arrangement-1200x1500.jpg,product,portrait,1200x1500,4:5,"Memorial Vase Arrangement — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of memorial vase arrangement for a luxury florist catalog. An upright vase arrangement of white lilies, roses and greenery to comfort a home or family. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
bridal-bouquet-ivory-garden,Bridal Bouquet — Ivory Garden,products/bridal-bouquet-ivory-garden-1200x1500.jpg,product,portrait,1200x1500,4:5,"Bridal Bouquet — Ivory Garden — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of bridal bouquet — ivory garden for a luxury florist catalog. A soft ivory and white bridal bouquet in a natural garden style, tailored to the couple and venue on consultation. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
bridal-bouquet-cascading-blush,Bridal Bouquet — Cascading Blush,products/bridal-bouquet-cascading-blush-1200x1500.jpg,product,portrait,1200x1500,4:5,"Bridal Bouquet — Cascading Blush — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of bridal bouquet — cascading blush for a luxury florist catalog. A romantic cascading bridal bouquet in blush and pink tones, custom designed to the couple and venue on consultation. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
bridesmaid-bouquet,Bridesmaid Bouquet,products/bridesmaid-bouquet-1200x1500.jpg,product,portrait,1200x1500,4:5,"Bridesmaid Bouquet — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of bridesmaid bouquet for a luxury florist catalog. A coordinated hand-tied bridesmaid bouquet, scaled and colour-matched to the bridal party on consultation. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
low-reception-centerpiece,Low Reception Centerpiece,products/low-reception-centerpiece-1200x1500.jpg,product,portrait,1200x1500,4:5,"Low Reception Centerpiece — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of low reception centerpiece for a luxury florist catalog. A low, lush table centerpiece for reception guests to see across, tailored to your palette and venue on consultation. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
elevated-reception-centerpiece,Elevated Reception Centerpiece,products/elevated-reception-centerpiece-1200x1500.jpg,product,portrait,1200x1500,4:5,"Elevated Reception Centerpiece — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of elevated reception centerpiece for a luxury florist catalog. A raised centerpiece on a stand or vase for height and drama at receptions, custom designed on consultation. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
ceremony-aisle-arch-arrangement,Ceremony Aisle & Arch Arrangement,products/ceremony-aisle-arch-arrangement-1200x1500.jpg,product,portrait,1200x1500,4:5,"Ceremony Aisle & Arch Arrangement — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of ceremony aisle & arch arrangement for a luxury florist catalog. Floral pieces for aisle ends, arches and altars, designed and scaled to your ceremony space on consultation. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
sweetheart-table-arrangement,Sweetheart Table Arrangement,products/sweetheart-table-arrangement-1200x1500.jpg,product,portrait,1200x1500,4:5,"Sweetheart Table Arrangement — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of sweetheart table arrangement for a luxury florist catalog. A lush arrangement or garland for the couple's sweetheart or head table, custom designed on consultation. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
intimate-wedding-flower-package,Intimate Wedding Flower Package,products/intimate-wedding-flower-package-1200x1500.jpg,product,portrait,1200x1500,4:5,"Intimate Wedding Flower Package — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of intimate wedding flower package for a luxury florist catalog. A starting flower package for intimate weddings: bridal and bridesmaid bouquets plus a few centerpieces, customised on consultation. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
wet-floral-foam-bricks,Wet Floral Foam Bricks,products/wet-floral-foam-bricks-1200x1500.jpg,product,portrait,1200x1500,4:5,"Wet Floral Foam Bricks — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of wet floral foam bricks for a luxury florist catalog. Standard wet floral foam bricks for fresh arrangements. Holds water and stems securely. Sold in packs of 6, 12 or 24. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
glass-cylinder-vase,Glass Cylinder Vase,products/glass-cylinder-vase-1200x1500.jpg,product,portrait,1200x1500,4:5,"Glass Cylinder Vase — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of glass cylinder vase for a luxury florist catalog. Clear glass cylinder vase with a heavy base and smooth rim. A versatile staple for arrangements, events and hydrangea displays. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
bud-vase-set,Bud Vase Set,products/bud-vase-set-1200x1500.jpg,product,portrait,1200x1500,4:5,"Bud Vase Set — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of bud vase set for a luxury florist catalog. Set of small glass bud vases for single stems and mini arrangements. Ideal for tablescapes, place settings and everyday blooms. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
satin-ribbon,Satin Ribbon,products/satin-ribbon-1200x1500.jpg,product,portrait,1200x1500,4:5,"Satin Ribbon — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of satin ribbon for a luxury florist catalog. Double-faced satin ribbon for bouquet ties, box finishing and gift wrap. Smooth sheen on both sides. Ivory, Champagne Gold or Black. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
organza-ribbon,Organza Ribbon,products/organza-ribbon-1200x1500.jpg,product,portrait,1200x1500,4:5,"Organza Ribbon — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of organza ribbon for a luxury florist catalog. Sheer organza ribbon for soft, airy bows and delicate bouquet ties. Lightweight and translucent. Ivory, Blush or Sage. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
kraft-cellophane-wrap,Kraft & Cellophane Wrap,products/kraft-cellophane-wrap-1200x1500.jpg,product,portrait,1200x1500,4:5,"Kraft & Cellophane Wrap — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of kraft & cellophane wrap for a luxury florist catalog. Combined kraft paper and clear cellophane sheets for wrapping bouquets and hand-ties. Sold in packs of 25 or 50 sheets. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
woven-arrangement-basket,Woven Arrangement Basket,products/woven-arrangement-basket-1200x1500.jpg,product,portrait,1200x1500,4:5,"Woven Arrangement Basket — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of woven arrangement basket for a luxury florist catalog. Natural woven basket for floral arrangements and gift builds. Sturdy handle and liner-friendly base. Small, Medium or Large. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
floral-stem-tape,Floral Stem Tape,products/floral-stem-tape-1200x1500.jpg,product,portrait,1200x1500,4:5,"Floral Stem Tape — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of floral stem tape for a luxury florist catalog. Self-sealing floral stem tape for binding bouquets, corsages and boutonnieres. Stretches and clings to itself. Green or White. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
florist-shears-snips,Florist Shears & Snips,products/florist-shears-snips-1200x1500.jpg,product,portrait,1200x1500,4:5,"Florist Shears & Snips — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of florist shears & snips for a luxury florist catalog. Sharp stainless-steel florist shears and precision snips for clean stem cuts. Comfortable grip for all-day studio use. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
bouquet-presentation-boxes,Bouquet Presentation Boxes,products/bouquet-presentation-boxes-1200x1500.jpg,product,portrait,1200x1500,4:5,"Bouquet Presentation Boxes — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of bouquet presentation boxes for a luxury florist catalog. Rigid presentation boxes for gifting bouquets and floral arrangements. Clean lines and a liner-friendly base. Packs of 10 or 25. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
peace-lily-plant,Peace Lily Plant,products/peace-lily-plant-1200x1500.jpg,product,portrait,1200x1500,4:5,"Peace Lily Plant — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of peace lily plant for a luxury florist catalog. Elegant peace lily in a ceramic-style pot — a calm, low-maintenance living gift for home or office. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
snake-plant-sansevieria,Snake Plant (Sansevieria),products/snake-plant-sansevieria-1200x1500.jpg,product,portrait,1200x1500,4:5,"Snake Plant (Sansevieria) — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of snake plant (sansevieria) for a luxury florist catalog. Architectural snake plant with upright, patterned leaves — nearly indestructible and perfect for desks and lobbies. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
phalaenopsis-orchid-plant,Phalaenopsis Orchid Plant,products/phalaenopsis-orchid-plant-1200x1500.jpg,product,portrait,1200x1500,4:5,"Phalaenopsis Orchid Plant — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of phalaenopsis orchid plant for a luxury florist catalog. A refined white phalaenopsis orchid in bloom — a long-lasting, upscale living gift for any celebration. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
