title,handle,product_id,status,publication_status,collections,category,tags,product_type,vendor,description_status,image_count,has_featured_image,variant_count,variant_titles,price,compare_at_price,sku,inventory_tracked,inventory_qty,inventory_policy,purchasable,sold_out_reason,possible_duplicate,matching_local_image,missing_info,classification,recommended_action,reason,phase1_result
Silver Dollar Eucalyptus,silver-dollar-eucalyptus,8553434087603,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|greenery-and-fillers|green-flowers|sympathy-and-funeral|corporate-gifting|bulk-flowers|wholesale-greenery|florist-essentials|corporate-gifts,Greenery,channel:wholesale|color:green|content-status:reviewed|customer:event-planner|customer:florist|customer:hotel|flower:eucalyptus|format:bunch|image-status:required|occasion:corporate|occasion:everyday|occasion:sympathy|occasion:wedding|price-status:placeholder|season:year-round|type:greenery,Greenery,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,35.00,,TNG-WHL-026-P25|TNG-WHL-026-P50|TNG-WHL-026-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,eucalyptus-parvifolia (medium),likely match: flowers/eucalyptus/all (confirm),image,E,Manual review,Possible duplicate of eucalyptus-parvifolia (medium) — confirm before completing,
Israeli Ruscus,israeli-ruscus,8553434120371,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|greenery-and-fillers|green-flowers|sympathy-and-funeral|corporate-gifting|bulk-flowers|wholesale-greenery|florist-essentials|corporate-gifts,Greenery,channel:wholesale|color:green|content-status:reviewed|customer:event-planner|customer:florist|customer:hotel|flower:ruscus|format:bunch|image-status:required|occasion:corporate|occasion:everyday|occasion:sympathy|occasion:wedding|price-status:placeholder|season:year-round|type:greenery,Greenery,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,35.00,,TNG-WHL-027-P25|TNG-WHL-027-P50|TNG-WHL-027-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,greenery-bear-grass (medium),likely match: flowers/greenery/all (confirm),image,E,Manual review,Possible duplicate of greenery-bear-grass (medium) — confirm before completing,
Palm & Leather Leaf,palm-leather-leaf,8553434153139,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|greenery-and-fillers|green-flowers|sympathy-and-funeral|corporate-gifting|bulk-flowers|wholesale-greenery|florist-essentials|corporate-gifts,Greenery,channel:wholesale|color:green|content-status:reviewed|customer:event-planner|customer:florist|customer:hotel|flower:palm|format:bunch|image-status:required|occasion:corporate|occasion:everyday|occasion:sympathy|occasion:wedding|price-status:placeholder|season:year-round|type:greenery,Greenery,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,35.00,,TNG-WHL-028-P25|TNG-WHL-028-P50|TNG-WHL-028-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,greenery-bear-grass (medium),likely match: flowers/greenery/all (confirm),image,E,Manual review,Possible duplicate of greenery-bear-grass (medium) — confirm before completing,
Baby's Breath (Gypsophila),babys-breath-gypsophila,8553434185907,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|greenery-and-fillers|white-and-ivory|sympathy-and-funeral|new-baby|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Floral Filler,channel:wholesale|color:white-ivory|content-status:reviewed|customer:event-planner|customer:florist|customer:hotel|flower:babys-breath|format:bunch|image-status:required|occasion:corporate|occasion:everyday|occasion:new-baby|occasion:sympathy|occasion:wedding|price-status:placeholder|season:year-round|type:floral-filler,Floral Filler,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,28.00,,TNG-WHL-029-P25|TNG-WHL-029-P50|TNG-WHL-029-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,,likely match: flowers/babys-breath/all (confirm),image,B,Complete after image + availability fix,"Valid babys-breath stem/bunch; likely match: flowers/babys-breath/all (confirm); + inventory/availability fix (qty 0, policy DENY)",DONE: image added + untracked(CONTINUE) + published; purchasable
Wax Flower,wax-flower,8553434251443,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|greenery-and-fillers|pink|birthday|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Floral Filler,channel:wholesale|color:pink|content-status:reviewed|customer:event-planner|customer:florist|customer:hotel|flower:wax-flower|format:bunch|image-status:required|occasion:birthday|occasion:corporate|occasion:everyday|occasion:wedding|price-status:placeholder|season:seasonal|type:floral-filler,Floral Filler,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,28.00,,TNG-WHL-030-P25|TNG-WHL-030-P50|TNG-WHL-030-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,fillers-limonium (medium),likely match: flowers/fillers/all (confirm),image,E,Manual review,Possible duplicate of fillers-limonium (medium) — confirm before completing,
Statice,statice,8553434284211,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|greenery-and-fillers|purple|sympathy-and-funeral|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Floral Filler,channel:wholesale|color:purple|content-status:reviewed|customer:event-planner|customer:florist|customer:hotel|flower:statice|format:bunch|image-status:required|occasion:corporate|occasion:everyday|occasion:sympathy|occasion:wedding|price-status:placeholder|season:year-round|type:floral-filler,Floral Filler,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,28.00,,TNG-WHL-031-P25|TNG-WHL-031-P50|TNG-WHL-031-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,fillers-limonium (medium),likely match: flowers/fillers/all (confirm),image,E,Manual review,Possible duplicate of fillers-limonium (medium) — confirm before completing,
Solidago,solidago,8553434316979,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|greenery-and-fillers|yellow-and-orange|birthday|congratulations|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Floral Filler,channel:wholesale|color:yellow-orange|content-status:reviewed|customer:event-planner|customer:florist|customer:hotel|flower:solidago|format:bunch|image-status:required|occasion:birthday|occasion:congratulations|occasion:corporate|occasion:everyday|occasion:wedding|price-status:placeholder|season:year-round|type:floral-filler,Floral Filler,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,28.00,,TNG-WHL-032-P25|TNG-WHL-032-P50|TNG-WHL-032-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,fillers-limonium (medium),likely match: flowers/fillers/all (confirm),image,E,Manual review,Possible duplicate of fillers-limonium (medium) — confirm before completing,
Standing Spray — Mixed Tribute,standing-spray-mixed-tribute,8553434874035,ACTIVE,New Greenhouse Luxury Storefront,white-and-ivory|pink|mixed-color|sympathy-and-funeral|bulk-flowers,Sympathy Arrangement,channel:retail|channel:wholesale|color:mixed|color:pink|color:white-ivory|content-status:reviewed|customer:corporate|customer:retail-shopper|flower:mixed|format:standing-spray|image-status:required|occasion:sympathy|price-status:placeholder|season:year-round|type:sympathy-arrangement,Sympathy Arrangement,The New Greenhouse,present,0,no,1,Default Title,240.00,,TNG-SYM-002,yes,0,DENY,no,qty 0/policy DENY/tracked,,"not-suitable (arrangement — needs styled photo, not bunch)",image,E,Manual review,Sympathy/finished arrangement — cannot standardise; needs manual pricing/photo decision,
Sympathy Wreath — Ivory & Greenery,sympathy-wreath-ivory-greenery,8553434906803,ACTIVE,New Greenhouse Luxury Storefront,white-and-ivory|green-flowers|sympathy-and-funeral|bulk-flowers,Sympathy Arrangement,channel:retail|channel:wholesale|color:green|color:white-ivory|content-status:reviewed|customer:corporate|customer:retail-shopper|flower:chrysanthemum|format:wreath|image-status:required|occasion:sympathy|price-status:placeholder|season:year-round|type:sympathy-arrangement,Sympathy Arrangement,The New Greenhouse,present,0,no,1,Default Title,240.00,,TNG-SYM-003,yes,0,DENY,no,qty 0/policy DENY/tracked,,"not-suitable (arrangement — needs styled photo, not bunch)",image,E,Manual review,Sympathy/finished arrangement — cannot standardise; needs manual pricing/photo decision,
Casket Spray — Full Ivory,casket-spray-full-ivory,8553434939571,ACTIVE,New Greenhouse Luxury Storefront,roses|white-and-ivory|green-flowers|sympathy-and-funeral|bulk-flowers|wholesale-roses,Sympathy Arrangement,channel:retail|channel:wholesale|color:green|color:white-ivory|content-status:reviewed|customer:corporate|customer:retail-shopper|flower:rose|format:casket-spray|image-status:required|occasion:sympathy|price-status:placeholder|season:year-round|type:sympathy-arrangement,Sympathy Arrangement,The New Greenhouse,present,0,no,1,Default Title,240.00,,TNG-SYM-004,yes,0,DENY,no,qty 0/policy DENY/tracked,,"not-suitable (arrangement — needs styled photo, not bunch)",image,E,Manual review,Sympathy/finished arrangement — cannot standardise; needs manual pricing/photo decision,
Tribute Basket Arrangement,tribute-basket-arrangement,8553435037875,ACTIVE,New Greenhouse Luxury Storefront,lilies|white-and-ivory|green-flowers|sympathy-and-funeral|bulk-flowers|vases-and-containers,Sympathy Arrangement,channel:retail|channel:wholesale|color:green|color:white-ivory|content-status:reviewed|customer:corporate|customer:retail-shopper|flower:lily|format:arrangement|image-status:required|occasion:sympathy|price-status:placeholder|season:year-round|type:sympathy-arrangement,Sympathy Arrangement,The New Greenhouse,present,0,no,3,Standard|Deluxe|Premium,110.00,,TNG-SYM-007-STD|TNG-SYM-007-DLX|TNG-SYM-007-PRM,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,,"not-suitable (arrangement — needs styled photo, not bunch)",image,E,Manual review,Sympathy/finished arrangement — cannot standardise; needs manual pricing/photo decision,
Memorial Vase Arrangement,memorial-vase-arrangement,8553435070643,ACTIVE,New Greenhouse Luxury Storefront,lilies|white-and-ivory|green-flowers|sympathy-and-funeral|bulk-flowers|vases-and-containers,Sympathy Arrangement,channel:retail|channel:wholesale|color:green|color:white-ivory|content-status:reviewed|customer:corporate|customer:retail-shopper|flower:lily|format:arrangement|image-status:required|occasion:sympathy|price-status:placeholder|season:year-round|type:sympathy-arrangement,Sympathy Arrangement,The New Greenhouse,present,0,no,3,Standard|Deluxe|Premium,110.00,,TNG-SYM-008-STD|TNG-SYM-008-DLX|TNG-SYM-008-PRM,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,,not-suitable (supply),image,C,Keep hidden/draft,supply — not a flower bunch; needs real product photo + business info before selling,
Bridal Bouquet — Ivory Garden,bridal-bouquet-ivory-garden,8553435103411,ACTIVE,New Greenhouse Luxury Storefront,roses|white-and-ivory|green-flowers|bridal-bouquets|bulk-flowers,Wedding Flowers,channel:retail|channel:wholesale|color:green|color:white-ivory|content-status:reviewed|customer:event-planner|customer:retail-shopper|flower:garden-rose|format:bouquet|image-status:required|occasion:wedding|price-status:placeholder|season:seasonal|type:wedding-flowers,Wedding Flowers,The New Greenhouse,present,0,no,1,Default Title,150.00,,TNG-WED-001,yes,0,DENY,no,qty 0/policy DENY/tracked,,no matching image,image,E,Manual review,Flower type unclear or no standard image family — manual review,
Bridal Bouquet — Cascading Blush,bridal-bouquet-cascading-blush,8553435136179,ACTIVE,New Greenhouse Luxury Storefront,roses|pink|green-flowers|bridal-bouquets|bulk-flowers|wholesale-roses,Wedding Flowers,channel:retail|channel:wholesale|color:green|color:pink|content-status:reviewed|customer:event-planner|customer:retail-shopper|flower:rose|format:bouquet|image-status:required|occasion:wedding|price-status:placeholder|season:seasonal|type:wedding-flowers,Wedding Flowers,The New Greenhouse,present,0,no,1,Default Title,150.00,,TNG-WED-002,yes,0,DENY,no,qty 0/policy DENY/tracked,,no matching image,image,E,Manual review,Flower type unclear or no standard image family — manual review,
Bridesmaid Bouquet,bridesmaid-bouquet,8553435168947,ACTIVE,New Greenhouse Luxury Storefront,mixed-color|bridal-bouquets|bulk-flowers,Wedding Flowers,channel:retail|channel:wholesale|color:mixed|content-status:reviewed|customer:event-planner|customer:retail-shopper|flower:mixed|format:bouquet|image-status:required|occasion:wedding|price-status:placeholder|season:seasonal|type:wedding-flowers,Wedding Flowers,The New Greenhouse,present,0,no,1,Default Title,150.00,,TNG-WED-003,yes,0,DENY,no,qty 0/policy DENY/tracked,,no matching image,image,E,Manual review,Flower type unclear or no standard image family — manual review,
Low Reception Centerpiece,low-reception-centerpiece,8553435201715,ACTIVE,New Greenhouse Luxury Storefront,mixed-color|centerpieces|bulk-flowers,Wedding Flowers,channel:retail|channel:wholesale|color:mixed|content-status:reviewed|customer:event-planner|customer:retail-shopper|flower:mixed|format:centerpiece|image-status:required|occasion:wedding|price-status:placeholder|season:seasonal|type:wedding-flowers,Wedding Flowers,The New Greenhouse,present,0,no,2,Classic|Grand,85.00,,TNG-WED-004-CLS|TNG-WED-004-GRD,yes,0|0,DENY,no,qty 0/policy DENY/tracked,,no matching image,image,E,Manual review,Flower type unclear or no standard image family — manual review,
Elevated Reception Centerpiece,elevated-reception-centerpiece,8553435234483,ACTIVE,New Greenhouse Luxury Storefront,mixed-color|centerpieces|bulk-flowers,Wedding Flowers,channel:retail|channel:wholesale|color:mixed|content-status:reviewed|customer:event-planner|customer:retail-shopper|flower:mixed|format:centerpiece|image-status:required|occasion:wedding|price-status:placeholder|season:seasonal|type:wedding-flowers,Wedding Flowers,The New Greenhouse,present,0,no,2,Classic|Grand,85.00,,TNG-WED-005-CLS|TNG-WED-005-GRD,yes,0|0,DENY,no,qty 0/policy DENY/tracked,,no matching image,image,E,Manual review,Flower type unclear or no standard image family — manual review,
Ceremony Aisle & Arch Arrangement,ceremony-aisle-arch-arrangement,8553435267251,ACTIVE,New Greenhouse Luxury Storefront,mixed-color|bulk-flowers,Wedding Flowers,channel:retail|channel:wholesale|color:mixed|content-status:reviewed|customer:event-planner|customer:retail-shopper|flower:mixed|format:arrangement|image-status:required|occasion:wedding|price-status:placeholder|season:seasonal|type:wedding-flowers,Wedding Flowers,The New Greenhouse,present,0,no,1,Default Title,110.00,,TNG-WED-006,yes,0,DENY,no,qty 0/policy DENY/tracked,,"not-suitable (arrangement — needs styled photo, not bunch)",image,E,Manual review,Sympathy/finished arrangement — cannot standardise; needs manual pricing/photo decision,
Sweetheart Table Arrangement,sweetheart-table-arrangement,8553435300019,ACTIVE,New Greenhouse Luxury Storefront,mixed-color|bulk-flowers,Wedding Flowers,channel:retail|channel:wholesale|color:mixed|content-status:reviewed|customer:event-planner|customer:retail-shopper|flower:mixed|format:arrangement|image-status:required|occasion:wedding|price-status:placeholder|season:seasonal|type:wedding-flowers,Wedding Flowers,The New Greenhouse,present,0,no,1,Default Title,110.00,,TNG-WED-007,yes,0,DENY,no,qty 0/policy DENY/tracked,,"not-suitable (arrangement — needs styled photo, not bunch)",image,E,Manual review,Sympathy/finished arrangement — cannot standardise; needs manual pricing/photo decision,
Intimate Wedding Flower Package,intimate-wedding-flower-package,8553435332787,ACTIVE,New Greenhouse Luxury Storefront,mixed-color|bulk-flowers,Wedding Flowers,channel:retail|channel:wholesale|color:mixed|content-status:reviewed|customer:event-planner|customer:retail-shopper|flower:mixed|format:arrangement|image-status:required|occasion:wedding|price-status:placeholder|season:seasonal|type:wedding-flowers,Wedding Flowers,The New Greenhouse,present,0,no,1,Default Title,950.00,,TNG-WED-008,yes,0,DENY,no,qty 0/policy DENY/tracked,,no matching image,image,E,Manual review,Flower type unclear or no standard image family — manual review,
Glass Cylinder Vase,glass-cylinder-vase,8553435398323,ACTIVE,New Greenhouse Luxury Storefront,white-and-ivory|bulk-flowers|florist-essentials|floral-supplies|vases-and-containers,Floral Supply,channel:retail|channel:wholesale|color:white-ivory|content-status:reviewed|customer:event-planner|customer:florist|customer:retail-shopper|format:supply|image-status:required|price-status:placeholder|season:year-round|supply:vase|type:floral-supply,Floral Supply,The New Greenhouse,present,0,no,3,Small|Medium|Large,22.00,,TNG-SUP-002-SM|TNG-SUP-002-MD|TNG-SUP-002-LG,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,,not-suitable (supply),image,C,Keep hidden/draft,supply — not a flower bunch; needs real product photo + business info before selling,
Bud Vase Set,bud-vase-set,8553435431091,ACTIVE,New Greenhouse Luxury Storefront,white-and-ivory|bulk-flowers|florist-essentials|floral-supplies|vases-and-containers,Floral Supply,channel:retail|channel:wholesale|color:white-ivory|content-status:reviewed|customer:event-planner|customer:florist|customer:retail-shopper|format:supply|image-status:required|price-status:placeholder|season:year-round|supply:vase|type:floral-supply,Floral Supply,The New Greenhouse,present,0,no,2,Set of 6|Set of 12,12.00,,TNG-SUP-003-S6|TNG-SUP-003-S12,yes,0|0,DENY,no,qty 0/policy DENY/tracked,,not-suitable (supply),image,C,Keep hidden/draft,supply — not a flower bunch; needs real product photo + business info before selling,
Satin Ribbon,satin-ribbon,8553435463859,ACTIVE,New Greenhouse Luxury Storefront,mixed-color|bulk-flowers|florist-essentials|floral-supplies|ribbon,Floral Supply,channel:retail|channel:wholesale|color:mixed|content-status:reviewed|customer:event-planner|customer:florist|customer:retail-shopper|format:supply|image-status:required|price-status:placeholder|season:year-round|supply:ribbon|type:floral-supply,Floral Supply,The New Greenhouse,present,0,no,3,Ivory|Champagne Gold|Black,12.00,,TNG-SUP-004-IVR|TNG-SUP-004-GLD|TNG-SUP-004-BLK,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,,not-suitable (supply),image,C,Keep hidden/draft,supply — not a flower bunch; needs real product photo + business info before selling,
Organza Ribbon,organza-ribbon,8553435496627,ACTIVE,New Greenhouse Luxury Storefront,mixed-color|bulk-flowers|florist-essentials|floral-supplies|ribbon,Floral Supply,channel:retail|channel:wholesale|color:mixed|content-status:reviewed|customer:event-planner|customer:florist|customer:retail-shopper|format:supply|image-status:required|price-status:placeholder|season:year-round|supply:ribbon|type:floral-supply,Floral Supply,The New Greenhouse,present,0,no,3,Ivory|Blush|Sage,12.00,,TNG-SUP-005-IVR|TNG-SUP-005-BLS|TNG-SUP-005-SGE,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,,not-suitable (supply),image,C,Keep hidden/draft,supply — not a flower bunch; needs real product photo + business info before selling,
Kraft & Cellophane Wrap,kraft-cellophane-wrap,8553435529395,ACTIVE,New Greenhouse Luxury Storefront,white-and-ivory|bulk-flowers|florist-essentials|floral-supplies|wrapping-and-packaging,Floral Supply,channel:retail|channel:wholesale|color:white-ivory|content-status:reviewed|customer:event-planner|customer:florist|customer:retail-shopper|format:supply|image-status:required|price-status:placeholder|season:year-round|supply:wrap|type:floral-supply,Floral Supply,The New Greenhouse,present,0,no,2,25 sheets|50 sheets,12.00,,TNG-SUP-006-Q25S|TNG-SUP-006-Q50S,yes,0|0,DENY,no,qty 0/policy DENY/tracked,,not-suitable (supply),image,C,Keep hidden/draft,supply — not a flower bunch; needs real product photo + business info before selling,
Woven Arrangement Basket,woven-arrangement-basket,8553435562163,ACTIVE,New Greenhouse Luxury Storefront,yellow-and-orange|bulk-flowers|florist-essentials|floral-supplies|vases-and-containers,Floral Supply,channel:retail|channel:wholesale|color:yellow-orange|content-status:reviewed|customer:event-planner|customer:florist|customer:retail-shopper|format:supply|image-status:required|price-status:placeholder|season:year-round|supply:basket|type:floral-supply,Floral Supply,The New Greenhouse,present,0,no,3,Small|Medium|Large,22.00,,TNG-SUP-007-SM|TNG-SUP-007-MD|TNG-SUP-007-LG,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,,not-suitable (supply),image,C,Keep hidden/draft,supply — not a flower bunch; needs real product photo + business info before selling,
Floral Stem Tape,floral-stem-tape,8553435594931,ACTIVE,New Greenhouse Luxury Storefront,green-flowers|bulk-flowers|florist-essentials|floral-supplies|tools-and-accessories,Floral Supply,channel:retail|channel:wholesale|color:green|content-status:reviewed|customer:event-planner|customer:florist|customer:retail-shopper|format:supply|image-status:required|price-status:placeholder|season:year-round|supply:tape|type:floral-supply,Floral Supply,The New Greenhouse,present,0,no,2,Green|White,12.00,,TNG-SUP-008-GRN|TNG-SUP-008-WHT,yes,0|0,DENY,no,qty 0/policy DENY/tracked,,not-suitable (supply),image,C,Keep hidden/draft,supply — not a flower bunch; needs real product photo + business info before selling,
Florist Shears & Snips,florist-shears-snips,8553435627699,ACTIVE,New Greenhouse Luxury Storefront,green-flowers|bulk-flowers|florist-essentials|floral-supplies|tools-and-accessories,Floral Supply,channel:retail|channel:wholesale|color:green|content-status:reviewed|customer:event-planner|customer:florist|customer:retail-shopper|format:supply|image-status:required|price-status:placeholder|season:year-round|supply:tools|type:floral-supply,Floral Supply,The New Greenhouse,present,0,no,1,Default Title,60.00,,TNG-SUP-009,yes,0,DENY,no,qty 0/policy DENY/tracked,,not-suitable (supply),image,C,Keep hidden/draft,supply — not a flower bunch; needs real product photo + business info before selling,
Bouquet Presentation Boxes,bouquet-presentation-boxes,8553435660467,ACTIVE,New Greenhouse Luxury Storefront,white-and-ivory|bulk-flowers|florist-essentials|floral-supplies|wrapping-and-packaging,Floral Supply,channel:retail|channel:wholesale|color:white-ivory|content-status:reviewed|customer:event-planner|customer:florist|customer:retail-shopper|format:supply|image-status:required|price-status:placeholder|season:year-round|supply:box|type:floral-supply,Floral Supply,The New Greenhouse,present,0,no,2,10|25,27.00,,TNG-SUP-010-Q10|TNG-SUP-010-Q25,yes,0|0,DENY,no,qty 0/policy DENY/tracked,,not-suitable (supply),image,C,Keep hidden/draft,supply — not a flower bunch; needs real product photo + business info before selling,
Snake Plant (Sansevieria),snake-plant-sansevieria,8553435693235,ACTIVE,New Greenhouse Luxury Storefront,yellow-and-orange|green-flowers|corporate-gifting|bulk-flowers|corporate-gifts,Plant,channel:retail|channel:wholesale|color:green|color:yellow-orange|content-status:reviewed|customer:corporate|customer:retail-shopper|format:plant|image-status:required|occasion:corporate|occasion:everyday|price-status:placeholder|season:year-round|type:plant,Plant,The New Greenhouse,present,0,no,3,Small|Medium|Large,45.00,,TNG-PLT-002-SM|TNG-PLT-002-MD|TNG-PLT-002-LG,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,,not-suitable (plant),image,C,Keep hidden/draft,plant — not a flower bunch; needs real product photo + business info before selling,
Phalaenopsis Orchid Plant,phalaenopsis-orchid-plant,8553435726003,ACTIVE,New Greenhouse Luxury Storefront,orchids|white-and-ivory|congratulations|corporate-gifting|bulk-flowers|corporate-gifts,Plant,channel:retail|channel:wholesale|color:white-ivory|content-status:reviewed|customer:corporate|customer:retail-shopper|flower:orchid|format:plant|image-status:required|occasion:congratulations|occasion:corporate|occasion:everyday|price-status:placeholder|season:year-round|type:plant,Plant,The New Greenhouse,present,0,no,2,Standard|Premium Wrap,65.00,,TNG-PLT-003-STD|TNG-PLT-003-PWR,yes,0|0,DENY,no,qty 0/policy DENY/tracked,,not-suitable (plant),image,C,Keep hidden/draft,plant — not a flower bunch; needs real product photo + business info before selling,
Fruit & Flower Gift Basket,fruit-flower-gift-basket,8553435758771,ACTIVE,New Greenhouse Luxury Storefront,mixed-color|congratulations|new-baby|get-well|corporate-gifting|bulk-flowers|vases-and-containers|corporate-gifts,Gift Basket,channel:retail|channel:wholesale|color:mixed|content-status:reviewed|customer:corporate|customer:retail-shopper|flower:mixed|format:gift-basket|image-status:required|occasion:congratulations|occasion:corporate|occasion:get-well|occasion:new-baby|price-status:placeholder|season:year-round|type:gift-basket,Gift Basket,The New Greenhouse,present,0,no,2,Classic|Grand,85.00,,TNG-PLT-004-CLS|TNG-PLT-004-GRD,yes,0|0,DENY,no,qty 0/policy DENY/tracked,,"not-suitable (arrangement — needs styled photo, not bunch)",image,E,Manual review,Sympathy/finished arrangement — cannot standardise; needs manual pricing/photo decision,
Belgian Chocolates Add-on,belgian-chocolates-add-on,8553435791539,ACTIVE,New Greenhouse Luxury Storefront,mixed-color|bulk-flowers|add-ons,Gift Add-on,channel:retail|channel:wholesale|color:mixed|content-status:reviewed|customer:retail-shopper|format:addon|image-status:required|occasion:everyday|price-status:placeholder|season:year-round|type:gift-add-on,Gift Add-on,The New Greenhouse,present,0,no,1,Default Title,20.00,,TNG-PLT-005,yes,0,DENY,no,qty 0/policy DENY/tracked,,no matching image,image,E,Manual review,Flower type unclear or no standard image family — manual review,
Plush Teddy Bear Add-on,plush-teddy-bear-add-on,8553435824307,ACTIVE,New Greenhouse Luxury Storefront,mixed-color|birthday|new-baby|get-well|bulk-flowers|add-ons,Gift Add-on,channel:retail|channel:wholesale|color:mixed|content-status:reviewed|customer:retail-shopper|format:addon|image-status:required|occasion:birthday|occasion:get-well|occasion:new-baby|price-status:placeholder|season:year-round|type:gift-add-on,Gift Add-on,The New Greenhouse,present,0,no,2,Small|Large,15.00,,TNG-PLT-006-SM|TNG-PLT-006-LG,yes,0|0,DENY,no,qty 0/policy DENY/tracked,,no matching image,image,E,Manual review,Flower type unclear or no standard image family — manual review,
