handle,name,status,collections,occasion,product_type,tier,price_low,price_high,primary_flowers,secondary_flowers,greenery,palette,arrangement_style,wrap_style,ribbon_style,vessel,size_options,short_description,long_description,seo_title,seo_description,meta_keywords,image_alt,concierge_tags,cross_sell,upsell,delivery_notes,care_instructions,availability_notes,tags,image_prompt
corporate-elegance-arrangement,Corporate Elegance Arrangement,existing,Corporate Gifting,corporate,Floral Arrangement,premium,130,150,White roses|White calla lilies,White hydrangea|Green cymbidium orchids,Monstera leaf|Italian ruscus|Aspidistra,White / green,"Structured modern arrangement, clean architectural lines",None — vase arrangement,None,Matte white ceramic column vase,Standard|Grand,"A structured white-and-green arrangement in a modern vase, refined enough for any office or lobby.","Composed, confident and quietly impressive — the floral equivalent of a firm handshake. White roses and calla lilies stand in clean architectural lines, accented by green orchids and sculptural foliage in a matte white vase. It brings a polished, professional presence to a desk, boardroom or lobby. Delivered ready to make an impression.",Corporate Elegance Arrangement | Luxury Flower Delivery Kingston | The New Greenhouse,"A structured white-and-green corporate arrangement of roses, callas and orchids in a modern vase. Luxury office flowers, delivered in Kingston, Jamaica.",corporate flowers|office arrangement|white calla lilies|business gifting flowers|Kingston corporate florist|luxury office flowers Jamaica,Corporate Elegance Arrangement — structured white roses and calla lilies with green orchids in a modern white vase by The New Greenhouse,corporate|client|professional|premium-tier|white-green|same-day|client|polished-modern,Executive Desk Arrangement|Corporate Thank-You Gift,Reception Lobby Arrangement|Office Floral Display,Same-day delivery available where possible. Delivered to the office or lobby; recurring and contract options available for ongoing corporate displays.,"Keep in fresh water away from direct sun, vents and heat. Top up the water and trim stems every few days to keep it looking sharp.",Available year-round; premium white and green stems substituted like-for-like by season.,experience:deluxe|channel:retail|delivery:same-day|occasion:corporate|flower:rose|flower:orchid|palette:mixed|style:arrangement|format:vase|tier:premium|recipient:client,"A finished corporate floral arrangement, polished, structured and tasteful, clean architectural lines, of white roses and white calla lilies with white hydrangea and green cymbidium orchids and monstera leaf, Italian ruscus and aspidistra, arranged in a matte white ceramic column vase suited to a desk or lobby, whites and greens with restrained accent; eye-level straight-on, centred, generous negative space, ~10% margin; soft luxury studio lighting, gentle highlights; soft warm ivory-to-pale-taupe seamless studio background, gentle grounding shadow — no black, no hard shadows; warm, natural, true-to-life, editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no text, no logo, no watermark, no people, no hands."
executive-desk-arrangement,Executive Desk Arrangement,new,Corporate Gifting,corporate,Floral Arrangement,premium,100,130,White roses|White spray roses,White lisianthus|Green hypericum berries,Italian ruscus|Seeded eucalyptus,White / green,"Compact refined low arrangement, neat rounded form",None — vase arrangement,None,Low matte white ceramic cube vase,Petite|Standard,"A compact white-and-green arrangement scaled for a desk, refined without crowding the workspace.","Refinement that respects the workspace it sits in. This compact arrangement keeps white roses and lisianthus neat and low, accented with green berries in a modern cube vase. It brings a touch of considered calm to a desk or credenza without ever getting in the way. Delivered ready to elevate an executive's everyday.",Executive Desk Arrangement | Luxury Flower Delivery Kingston | The New Greenhouse,"A compact white-and-green desk arrangement of roses, lisianthus and berries in a modern vase. Luxury corporate flowers, delivered in Kingston, Jamaica.",desk arrangement|executive flowers|office desk flowers|corporate gifting|Kingston corporate florist|luxury office flowers Jamaica,Executive Desk Arrangement — compact white roses and lisianthus with green berries in a low white cube vase by The New Greenhouse,corporate|colleague|professional|premium-tier|white-green|same-day|colleague|refined-compact,Corporate Thank-You Gift|Corporate Elegance Arrangement,Corporate Elegance Arrangement|Reception Lobby Arrangement,Same-day delivery available where possible. Delivered to the office; recurring desk-refresh and contract options available on request.,"Keep in fresh water away from direct sun, vents and heat. Top up the water every few days to keep it looking crisp.",Available year-round; white and green stems substituted like-for-like by season.,experience:deluxe|channel:retail|delivery:same-day|occasion:corporate|flower:rose|palette:mixed|style:arrangement|format:vase|tier:premium|recipient:colleague,"A finished corporate floral arrangement, polished, structured and tasteful, compact refined low neat rounded form, of white roses and white spray roses with white lisianthus and green hypericum berries and Italian ruscus and seeded eucalyptus greenery, arranged in a low matte white ceramic cube vase suited to a desk, whites and greens with restrained accent; eye-level straight-on, centred, generous negative space, ~10% margin; soft luxury studio lighting, gentle highlights; soft warm ivory-to-pale-taupe seamless studio background, gentle grounding shadow — no black, no hard shadows; warm, natural, true-to-life, editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no text, no logo, no watermark, no people, no hands."
reception-lobby-arrangement,Reception Lobby Arrangement,new,Corporate Gifting,corporate,Floral Arrangement,luxury,175,225,White hydrangea|White roses,White calla lilies|Green anthurium,Monstera leaf|Aspidistra|Italian ruscus,White / green,"Large statement arrangement, full sculptural spread",None — vase arrangement,None,Tall matte white ceramic pedestal vase,Grand|Statement,A large white-and-green statement arrangement built to command a reception or lobby with presence.,"The first impression, made in flowers. This statement arrangement gathers white hydrangea, roses and callas into a full sculptural spread, grounded by architectural greenery in a tall pedestal vase. It gives a reception or lobby the polished, confident presence a brand deserves. Delivered and styled to anchor the space.",Reception Lobby Arrangement | Luxury Flower Delivery Kingston | The New Greenhouse,"A large white-and-green statement arrangement of hydrangea, roses and callas for a lobby. Luxury corporate flowers, delivered in Kingston, Jamaica.",lobby arrangement|reception flowers|corporate statement flowers|white hydrangea|Kingston corporate florist|luxury office flowers Jamaica,"Reception Lobby Arrangement — large white hydrangea, roses and callas in a tall white pedestal vase by The New Greenhouse",corporate|client|professional|luxury-tier|white-green|same-day|client|statement-polished,Office Floral Display|Corporate Elegance Arrangement,Office Floral Display|Corporate Thank-You Gift,Same-day delivery available where possible. Delivered and placed on-site; recurring weekly and contract options available for ongoing lobby displays.,"Keep on a level surface away from direct sun, vents and heat. Top up the water and trim stems every few days to maintain its full form.",Available year-round; ideal on a recurring contract. Premium white and green stems substituted like-for-like by season.,experience:deluxe|channel:retail|delivery:same-day|occasion:corporate|flower:hydrangea|flower:rose|palette:mixed|style:arrangement|format:vase|tier:luxury|recipient:client,"A finished corporate floral arrangement, polished, structured and tasteful, large statement full sculptural spread, of white hydrangea and white roses with white calla lilies and green anthurium and monstera leaf, aspidistra and Italian ruscus, arranged in a tall matte white ceramic pedestal vase suited to a lobby, whites and greens with restrained accent; eye-level straight-on, centred, generous negative space, ~10% margin; soft luxury studio lighting, gentle highlights; soft warm ivory-to-pale-taupe seamless studio background, gentle grounding shadow — no black, no hard shadows; warm, natural, true-to-life, editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no text, no logo, no watermark, no people, no hands."
office-floral-display,Office Floral Display,new,Corporate Gifting,corporate,Floral Arrangement,premium,115,150,White roses|White chrysanthemums,White lisianthus|Green hydrangea,Italian ruscus|Seeded eucalyptus|Aspidistra,White / green,"Balanced medium arrangement, tidy rounded form",None — vase arrangement,None,Matte white ceramic tapered vase,Standard|Full,"A tidy white-and-green display designed for recurring delivery, keeping the office fresh week to week.","Consistency that keeps a workplace feeling cared for, arrangement after arrangement. This balanced white-and-green display sits neatly on a counter, credenza or meeting table, tidy and always fresh. Set up on a recurring schedule, it takes the thinking out of keeping the office looking its best. Delivered on your cadence, styled the same beautiful way each time.",Office Floral Display | Luxury Flower Delivery Kingston | The New Greenhouse,"A tidy white-and-green office display of roses, chrysanthemums and hydrangea for recurring delivery. Luxury corporate flowers in Kingston, Jamaica.",office flowers|recurring floral display|corporate subscription flowers|weekly office flowers|Kingston corporate florist|luxury office flowers Jamaica,Office Floral Display — tidy white roses and chrysanthemums with green hydrangea in a white tapered vase by The New Greenhouse,corporate|colleague|professional|premium-tier|white-green|same-day|colleague|fresh-consistent,Executive Desk Arrangement|Reception Lobby Arrangement,Reception Lobby Arrangement|Corporate Elegance Arrangement,Same-day delivery available where possible. Designed for recurring weekly or bi-weekly delivery on a simple contract; one-off orders also welcome.,"Keep in fresh water away from direct sun, vents and heat. On a recurring plan we refresh the display for you each visit.",Available year-round; best value on a recurring contract. White and green stems substituted like-for-like by season.,experience:deluxe|channel:retail|delivery:same-day|occasion:corporate|flower:rose|flower:chrysanthemum|palette:mixed|style:arrangement|format:vase|tier:premium|recipient:colleague,"A finished corporate floral arrangement, polished, structured and tasteful, balanced medium tidy rounded form, of white roses and white chrysanthemums with white lisianthus and green hydrangea and Italian ruscus, seeded eucalyptus and aspidistra, arranged in a matte white ceramic tapered vase suited to an office, whites and greens with restrained accent; eye-level straight-on, centred, generous negative space, ~10% margin; soft luxury studio lighting, gentle highlights; soft warm ivory-to-pale-taupe seamless studio background, gentle grounding shadow — no black, no hard shadows; warm, natural, true-to-life, editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no text, no logo, no watermark, no people, no hands."
corporate-thank-you-gift,Corporate Thank-You Gift,new,Corporate Gifting,corporate,Floral Arrangement,premium,110,145,White roses|White oriental lilies,White lisianthus|Green cymbidium orchids,Italian ruscus|Seeded eucalyptus|Salal,White / green,"Elegant gift vase arrangement, gracious rounded form",None — vase arrangement,"Plain smooth ivory satin ribbon, blank, no text",Clear glass footed gift vase,Standard|Full,"An elegant white-and-green gift vase to thank a client or partner with genuine, polished warmth.","A thank-you that feels as considered as the relationship behind it. White roses and oriental lilies gather graciously in a footed glass vase, finished with green orchids and a smooth ivory ribbon. It carries warmth and professionalism in equal measure — the right note of appreciation for a valued client or partner. Delivered ready to make gratitude memorable.",Corporate Thank-You Gift | Luxury Flower Delivery Kingston | The New Greenhouse,"An elegant white-and-green gift vase of roses, lilies and orchids to thank a client. Luxury corporate flowers, delivered in Kingston, Jamaica.",corporate thank you flowers|client appreciation gift|business thank you flowers|white roses gift|Kingston corporate florist|luxury gifting flowers Jamaica,Corporate Thank-You Gift — elegant white roses and lilies with green orchids in a footed glass vase by The New Greenhouse,corporate|client|professional|premium-tier|white-green|same-day|client|gracious-warm,Executive Desk Arrangement|Corporate Elegance Arrangement,Corporate Elegance Arrangement|Reception Lobby Arrangement,Same-day delivery available where possible. Delivered to the client's office or home; volume and recurring gifting programmes available on request.,"Keep in fresh water away from direct sun, vents and heat. Trim stems and refresh the water every few days to extend its life.",Available year-round; ideal for repeat client-gifting programmes. White and green stems substituted like-for-like by season.,experience:deluxe|channel:retail|delivery:same-day|occasion:corporate|flower:rose|flower:lily|palette:mixed|style:arrangement|format:vase|tier:premium|recipient:client,"A finished corporate floral arrangement, polished, structured and tasteful, elegant gift vase with gracious rounded form, of white roses and white oriental lilies with white lisianthus and green cymbidium orchids and Italian ruscus, seeded eucalyptus and salal, arranged in a clear glass footed gift vase suited to a client desk or home, finished with a plain smooth ivory satin ribbon, blank, no text, whites and greens with restrained accent; eye-level straight-on, centred, generous negative space, ~10% margin; soft luxury studio lighting, gentle highlights; soft warm ivory-to-pale-taupe seamless studio background, gentle grounding shadow — no black, no hard shadows; warm, natural, true-to-life, editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no text, no logo, no watermark, no people, no hands."
sunshine-birthday-bouquet,Sunshine Birthday Bouquet,existing,birthday|best-seller|luxury-bouquet,birthday,Luxury Bouquet,premium,95,125,Gerbera daisies|sunflowers,Orange roses|solidago,Italian ruscus|salal,bright,Hand-tied cheerful rounded gathering,Premium kraft and ivory tissue,"Champagne-gold and black satin ribbon, blank",Hand-tied bouquet — no vessel,Classic|Grand|Opulent,A joyful hand-tied burst of gerberas and sunflowers to light up a birthday.,"Pure celebration in bloom — vivid gerbera daisies and sunny sunflowers gathered with warm orange roses for a birthday wish that arrives smiling. Every stem is chosen for its glow, hand-tied into a cheerful, generous round that feels like sunshine at the door. It is the bouquet that makes someone feel unmistakably celebrated, delivered same-day across Kingston.",Sunshine Birthday Bouquet | Luxury Flower Delivery Kingston | The New Greenhouse,A bright hand-tied bouquet of gerberas and sunflowers for birthdays. A joyful premium gift with same-day Kingston delivery.,"birthday bouquet Kingston, sunflower bouquet, gerbera daisies, bright birthday flowers, happy birthday flowers Jamaica, same-day flower delivery",Sunshine Birthday Bouquet — bright gerberas and sunflowers hand-tied in ivory tissue by The New Greenhouse,birthday | her | cheerful | premium-tier | bright | same-day-yes | friend | playful,birthday-balloon-bloom-box|congratulations-brights-bouquet|get-well-luxe,milestone-birthday-roses,Same-day delivery across Kingston for orders placed before 1pm; presented in a protective bouquet sleeve.,"Unwrap, trim stems at an angle, and place in fresh cool water; refresh water every two days and keep away from direct heat.","Core best-seller, available year-round; sunflower size may vary subtly by season.",experience:deluxe|channel:retail|delivery:same-day|occasion:birthday|collection:best-seller|flower:mixed|palette:bright|style:hand-tied|format:bouquet|tier:premium|recipient:her,"A finished gift-ready premium hand-tied bouquet of bright gerbera daisies and sunflowers with orange roses and solidago, framed by Italian ruscus and salal, hand-arranged with refined density in a cheerful rounded dome, wrapped in premium kraft and ivory tissue, tied with a plain smooth champagne-gold and black satin ribbon, completely blank — no text. Eye-level straight-on angle. Centred composition with generous negative space and roughly 10% margin. Soft luxury studio lighting, balanced exposure, gentle highlights. Soft warm ivory-to-pale-taupe seamless studio background with a gentle grounding shadow — no black, no hard shadows. Warm, natural, true-to-life, premium editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no malformed or duplicated petals, no text, no logo, no watermark, no people, no hands."
congratulations-brights-bouquet,Congratulations Brights Bouquet,existing,congratulations|best-seller|luxury-bouquet,congratulations,Luxury Bouquet,premium,105,135,Vivid mixed roses|gerbera daisies,Alstroemeria|spray roses,Ruscus|seeded eucalyptus,bright,Hand-tied exuberant rounded gathering,Premium kraft and ivory tissue,"Champagne-gold and black satin ribbon, blank",Hand-tied bouquet — no vessel,Classic|Grand|Opulent,"A vivid mixed hand-tied bouquet made to say a big, bright congratulations.","For the promotion, the graduation, the milestone that deserves a fanfare — a jubilant mix of vivid roses and gerberas that celebrates as loudly as the moment does. The colours are bold and confident, hand-tied into a full, festive round that arrives like applause. Send it same-day across Kingston to tell someone their hard-won achievement did not go unnoticed.",Congratulations Brights Bouquet | Luxury Flower Delivery Kingston | The New Greenhouse,"A vivid mixed bouquet to celebrate promotions, graduations and milestones. A bright premium gift with same-day Kingston delivery.","congratulations flowers Kingston, graduation bouquet, promotion flowers, bright celebration bouquet, congratulations flowers Jamaica, same-day flower delivery",Congratulations Brights Bouquet — vivid mixed roses and gerberas hand-tied in ivory tissue by The New Greenhouse,congratulations | her | celebratory | premium-tier | bright | same-day-yes | colleague | vibrant,champagne-congratulations-blooms|sunshine-birthday-bouquet|gratitude-garden-bouquet,champagne-congratulations-blooms,Same-day delivery across Kingston for orders placed before 1pm; presented in a protective bouquet sleeve.,"Unwrap, trim stems at an angle, and place in fresh cool water; refresh water every two days and keep away from direct heat.","Core best-seller, available year-round; mix varies with seasonal bright blooms.",experience:deluxe|channel:retail|delivery:same-day|occasion:congratulations|collection:best-seller|flower:mixed|palette:bright|style:hand-tied|format:bouquet|tier:premium|recipient:her,"A finished gift-ready premium hand-tied bouquet of vivid mixed roses and gerbera daisies with alstroemeria and spray roses, framed by ruscus and seeded eucalyptus, hand-arranged with refined density in an exuberant rounded dome, wrapped in premium kraft and ivory tissue, tied with a plain smooth champagne-gold and black satin ribbon, completely blank — no text. Eye-level straight-on angle. Centred composition with generous negative space and roughly 10% margin. Soft luxury studio lighting, balanced exposure, gentle highlights. Soft warm ivory-to-pale-taupe seamless studio background with a gentle grounding shadow — no black, no hard shadows. Warm, natural, true-to-life, premium editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no malformed or duplicated petals, no text, no logo, no watermark, no people, no hands."
thank-you-peach-bouquet,Thank You Peach Bouquet,existing,thank-you|luxury-bouquet,thank-you,Luxury Bouquet,premium,95,125,Peach roses,Peach lisianthus|spray roses,Silver dollar eucalyptus,pastel,Hand-tied softly domed,Premium kraft and ivory tissue,"Champagne-gold and black satin ribbon, blank",Hand-tied bouquet — no vessel,Classic|Grand|Opulent,"Warm peach roses hand-tied to say a heartfelt, gracious thank you.","Gratitude has a colour, and it is the soft warm peach of these roses gathered gently by hand. Understated yet deeply sincere, this bouquet carries the kind of thank-you that words often struggle to hold — for the mentor, the friend, the one who showed up. Wrapped in ivory tissue and finished with satin ribbon, it arrives same-day in Kingston, gracious and glowing.",Thank You Peach Bouquet | Luxury Flower Delivery Kingston | The New Greenhouse,Warm peach roses hand-tied to express heartfelt gratitude. An elegant premium thank-you bouquet with same-day Kingston delivery.,"thank you flowers Kingston, peach rose bouquet, gratitude flowers, thank you bouquet Jamaica, peach roses, same-day flower delivery",Thank You Peach Bouquet — soft peach roses hand-tied in ivory tissue by The New Greenhouse,thank-you | her | grateful | premium-tier | pastel | same-day-yes | friend | gracious,gratitude-garden-bouquet|new-baby-soft-pastels-bouquet|get-well-luxe,gratitude-garden-bouquet,Same-day delivery across Kingston for orders placed before 1pm; presented in a protective bouquet sleeve.,"Unwrap, trim stems at an angle, and place in fresh cool water; refresh water every two days and keep away from direct heat.",Available year-round; peach rose tones may vary subtly by season.,experience:deluxe|channel:retail|delivery:same-day|occasion:thank-you|collection:luxury-bouquet|flower:rose|palette:pastel|style:hand-tied|format:bouquet|tier:premium|recipient:her,"A finished gift-ready premium hand-tied bouquet of soft peach roses with peach lisianthus and spray roses, softened by silver dollar eucalyptus, hand-arranged with refined density in a soft dome, wrapped in premium kraft and ivory tissue, tied with a plain smooth champagne-gold and black satin ribbon, completely blank — no text. Eye-level straight-on angle. Centred composition with generous negative space and roughly 10% margin. Soft luxury studio lighting, balanced exposure, gentle highlights. Soft warm ivory-to-pale-taupe seamless studio background with a gentle grounding shadow — no black, no hard shadows. Warm, natural, true-to-life, premium editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no malformed or duplicated petals, no text, no logo, no watermark, no people, no hands."
get-well-luxe,Get Well Luxe,existing,get-well|luxury-bouquet,get-well,Luxury Bouquet,premium,90,120,Soft yellow and white roses,White lisianthus|yellow spray roses,Eucalyptus|ruscus,pastel,Hand-tied gentle rounded gathering,Premium kraft and ivory tissue,"Champagne-gold and black satin ribbon, blank",Hand-tied bouquet — no vessel,Classic|Grand|Opulent,"Soft, cheerful blooms hand-tied to send warmth and a speedy recovery.","A gentle, uplifting gathering of soft yellow and white blooms — bright enough to lift a room, tender enough to soothe. This is the bouquet that sits at a bedside and quietly says get well soon, thinking of you, take your time. Wrapped in ivory tissue and delivered same-day across Kingston, it carries comfort and cheer in equal measure.",Get Well Luxe | Luxury Flower Delivery Kingston | The New Greenhouse,Soft cheerful yellow and white blooms hand-tied to wish a speedy recovery. A comforting premium bouquet with same-day Kingston delivery.,"get well flowers Kingston, get well soon bouquet, cheerful flowers, recovery flowers Jamaica, feel better flowers, same-day flower delivery",Get Well Luxe — soft yellow and white roses hand-tied in ivory tissue by The New Greenhouse,get-well | her | comforting | premium-tier | pastel | same-day-yes | family | caring,get-well-sunshine-basket|thank-you-peach-bouquet|sunshine-birthday-bouquet,get-well-sunshine-basket,Same-day delivery across Kingston for orders placed before 1pm; presented in a protective bouquet sleeve. Hospital delivery available — confirm ward policy.,"Unwrap, trim stems at an angle, and place in fresh cool water; refresh water every two days and keep away from direct heat.","Available year-round; some hospitals restrict fresh flowers, so check ward rules before sending.",experience:deluxe|channel:retail|delivery:same-day|occasion:get-well|collection:luxury-bouquet|flower:rose|palette:pastel|style:hand-tied|format:bouquet|tier:premium|recipient:her,"A finished gift-ready premium hand-tied bouquet of soft yellow and white roses with white lisianthus and yellow spray roses, softened by eucalyptus and ruscus, hand-arranged with refined density in a gentle rounded dome, wrapped in premium kraft and ivory tissue, tied with a plain smooth champagne-gold and black satin ribbon, completely blank — no text. Eye-level straight-on angle. Centred composition with generous negative space and roughly 10% margin. Soft luxury studio lighting, balanced exposure, gentle highlights. Soft warm ivory-to-pale-taupe seamless studio background with a gentle grounding shadow — no black, no hard shadows. Warm, natural, true-to-life, premium editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no malformed or duplicated petals, no text, no logo, no watermark, no people, no hands."
new-baby-soft-pastels-bouquet,New Baby Soft Pastels Bouquet,existing,new-baby|luxury-bouquet,new-baby,Luxury Bouquet,premium,95,125,"Pastel roses (soft peach, ivory, pale yellow)",Lisianthus|spray roses,Silver dollar eucalyptus,pastel,Hand-tied softly domed,Premium kraft and ivory tissue,"Champagne-gold and black satin ribbon, blank",Hand-tied bouquet — no vessel,Classic|Grand|Opulent,"A tender pastel bouquet to welcome a new arrival, whoever they are.","Soft as a first lullaby, this gender-neutral gathering of pastel roses and lisianthus welcomes the newest little one with quiet, gentle joy. The muted peaches, ivories and pale yellows suit any nursery and any new family, carrying a wish for sweet beginnings. Wrapped in ivory tissue and delivered same-day across Kingston, it greets the growing family with grace.",New Baby Soft Pastels Bouquet | Luxury Flower Delivery Kingston | The New Greenhouse,A tender gender-neutral pastel bouquet to welcome a new baby. A gentle premium gift with same-day Kingston delivery.,"new baby flowers Kingston, new baby bouquet, welcome baby flowers, pastel baby bouquet, newborn flowers Jamaica, same-day flower delivery",New Baby Soft Pastels Bouquet — soft pastel roses hand-tied in ivory tissue by The New Greenhouse,new-baby | new-parent | celebratory | premium-tier | pastel | same-day-yes | family | gentle,new-baby-boy-blue-bouquet|new-baby-girl-pink-bouquet|thank-you-peach-bouquet,new-baby-girl-pink-bouquet,Same-day delivery across Kingston for orders placed before 1pm; presented in a protective bouquet sleeve. Hospital delivery available — confirm ward policy.,"Unwrap, trim stems at an angle, and place in fresh cool water; refresh water every two days and keep away from direct heat.",Available year-round; unisex palette suits any new arrival.,experience:deluxe|channel:retail|delivery:same-day|occasion:new-baby|collection:luxury-bouquet|flower:mixed|palette:pastel|style:hand-tied|format:bouquet|tier:premium|recipient:new-parent,"A finished gift-ready premium hand-tied bouquet of soft neutral pastel roses in peach, ivory and pale yellow with lisianthus and spray roses, softened by silver dollar eucalyptus, hand-arranged with refined density in a soft dome, wrapped in premium kraft and ivory tissue, tied with a plain smooth champagne-gold and black satin ribbon, completely blank — no text. Eye-level straight-on angle. Centred composition with generous negative space and roughly 10% margin. Soft luxury studio lighting, balanced exposure, gentle highlights. Soft warm ivory-to-pale-taupe seamless studio background with a gentle grounding shadow — no black, no hard shadows. Warm, natural, true-to-life, premium editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no malformed or duplicated petals, no text, no logo, no watermark, no people, no hands."
birthday-balloon-bloom-box,Birthday Balloon Bloom Box,new,birthday|luxury-bouquet,birthday,Floral Arrangement,premium,115,145,Bright gerbera daisies|hot pink and orange roses,Spray roses|solidago,Salal|ruscus,bright,Densely packed dome in a box with a balloon accent,Presented in box — no wrap,"Champagne-gold and black satin ribbon, blank",Ivory round gift box with a champagne-gold balloon accent,Classic|Grand|Opulent,A box of bright blooms crowned with a balloon for a birthday to remember.,"All the fun of a birthday, gift-boxed and ready to celebrate — a dense dome of bright gerberas and roses topped with a single elegant balloon that says the party has arrived. It is playful and polished at once, the kind of surprise that earns a squeal and a photo. Delivered same-day across Kingston, it turns an ordinary doorway into a moment worth remembering.",Birthday Balloon Bloom Box | Luxury Flower Delivery Kingston | The New Greenhouse,A bright bloom box crowned with a balloon accent for birthdays. A festive premium gift with same-day Kingston delivery.,"birthday flowers Kingston, balloon and flowers, birthday box, bright birthday blooms, happy birthday gift Jamaica, same-day flower delivery",Birthday Balloon Bloom Box — bright gerberas and roses in an ivory box with a balloon accent by The New Greenhouse,birthday | her | cheerful | premium-tier | bright | same-day-yes | friend | playful,sunshine-birthday-bouquet|congratulations-brights-bouquet|get-well-sunshine-basket,milestone-birthday-roses,Same-day delivery across Kingston for orders placed before 1pm; box is hand-delivered upright with the balloon secured.,Blooms are set in floral foam within the box — add a little water to the foam every two days and keep out of direct sun and heat.,"New piece; balloon colour subject to stock, champagne-gold or ivory may substitute.",experience:deluxe|channel:retail|delivery:same-day|occasion:birthday|collection:luxury-bouquet|flower:mixed|palette:bright|style:arrangement|format:box|tier:premium|recipient:her,"A finished gift-ready premium floral arrangement of bright gerbera daisies with hot pink and orange roses, spray roses and solidago, tucked with salal and ruscus, hand-arranged with refined density into a tight rounded dome filling an ivory round gift box, with a single plain champagne-gold balloon rising as an accent, box finished with a plain smooth champagne-gold and black satin ribbon, completely blank — no text. Eye-level straight-on angle. Centred composition with generous negative space and roughly 10% margin. Soft luxury studio lighting, balanced exposure, gentle highlights. Soft warm ivory-to-pale-taupe seamless studio background with a gentle grounding shadow — no black, no hard shadows. Warm, natural, true-to-life, premium editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no malformed or duplicated petals, no text, no logo, no watermark, no people, no hands."
milestone-birthday-roses,Milestone Birthday Roses,new,birthday|signature,birthday,Floral Arrangement,luxury,165,195,"Two dozen premium roses (blush, cream, soft coral)",Ranunculus|spray roses,Seeded eucalyptus|Italian ruscus,pastel,Full elegant low-and-lush arrangement,Presented in vessel — no wrap,"Champagne-gold and black satin ribbon, blank",Footed ivory ceramic vase,Grand (24)|Opulent (36),Two dozen elegant roses for a birthday that deserves a grand gesture.,"Some birthdays are not just another year — they are milestones, and they call for roses that rise to the occasion. Two dozen premium blooms in soft blush, cream and coral are arranged in refined abundance, a gift as considered as the person receiving it. Delivered same-day across Kingston, it marks the day with the quiet grandeur a landmark birthday deserves.",Milestone Birthday Roses | Luxury Flower Delivery Kingston | The New Greenhouse,Two dozen elegant roses in a luxury arrangement for a milestone birthday. A grand premium gift with same-day Kingston delivery.,"milestone birthday flowers, luxury birthday roses Kingston, 30th birthday flowers, elegant birthday arrangement, birthday roses Jamaica, same-day flower delivery",Milestone Birthday Roses — two dozen blush and cream roses in a footed ivory vase by The New Greenhouse,birthday | her | celebratory | luxury-tier | pastel | same-day-yes | family | elegant,sunshine-birthday-bouquet|birthday-balloon-bloom-box|champagne-congratulations-blooms,champagne-congratulations-blooms,Same-day delivery across Kingston for orders placed before 1pm; hand-delivered in a protective vase box.,"Keep vessel topped with fresh water, trim stems every two days, and display away from direct sun and fruit to extend bloom life.",New signature-style piece; rose tones may vary subtly by season.,experience:deluxe|channel:retail|delivery:same-day|occasion:birthday|collection:signature|flower:rose|palette:pastel|style:arrangement|format:vase|tier:luxury|recipient:her,"A finished gift-ready premium floral arrangement of two dozen premium roses in soft blush, cream and coral with ranunculus and spray roses, framed by seeded eucalyptus and Italian ruscus, hand-arranged with refined density in a full low rounded dome, set in a footed ivory ceramic vase, tied with a plain smooth champagne-gold and black satin ribbon, completely blank — no text. Eye-level straight-on angle. Centred composition with generous negative space and roughly 10% margin. Soft luxury studio lighting, balanced exposure, gentle highlights. Soft warm ivory-to-pale-taupe seamless studio background with a gentle grounding shadow — no black, no hard shadows. Warm, natural, true-to-life, premium editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no malformed or duplicated petals, no text, no logo, no watermark, no people, no hands."
